TIMESTAMP,RECORD,P_Total,F_Comp,T_RHS_OUT,RH_OUT,T_RHS_IN,RH_IN,T_RHS_SUP,RH_SUP,T_OUT,T_RO_M,T_RO_O,T_RI_M,T_RI_O,T_AI,T_AO1,T_AO2,T_AO3,T_ROOM_1,T_ROOM_2,T_ROOM_3,A_CI,A_HP_Total,A_I,T_Stack,A_Pan,A_Crank,P_Furnace1,P_Furnace2,P_Furnace3,P_AHU,P_Average,P_Weighted
2021-02-19 13:00:00,15541,0,0.0,-4.798,95.687,17.653,24.957,20.756,18.164,-3.942715,4.471707,-6.075963,-12.75708,-11.49993,16.40958,13.66144,12.74204,20.756,,,,-0.3051637,1.421413,0.2200525,,,,,,0.05034016,0,,
2021-02-19 13:00:05,15542,0,0.0,-4.798,95.751,17.597,24.968,20.66,18.715,-3.97823,3.924759,-6.010999,-11.75104,-11.482,16.30807,13.59339,12.69092,20.66,,,,-0.3044708,1.423563,0.2024829,,,,,,0.05034016,0,,
2021-02-19 13:00:10,15543,0,0.0,-4.755,95.741,17.541,24.995,20.529,18.672,-3.843889,3.451346,-6.013424,-11.08773,-10.96237,16.18961,13.55937,12.69092,20.529,,,,-0.3051823,1.421483,0.1925713,,,,,,0.05034016,0,,
2021-02-19 13:00:15,15544,0,0.0,-4.755,95.696,17.515,25.055,20.447,18.971,-3.877498,3.022748,-5.746599,-10.46129,-10.19311,16.07112,13.59339,12.67387,20.447,,,,-0.3053291,1.395714,0.1862672,,,,,,0.05170071,0,,
2021-02-19 13:00:20,15545,0,0.8,-4.782,95.628,17.429,25.094,20.334,18.71,-3.831204,2.506848,-5.622044,-9.817952,-9.514511,15.96954,13.57638,12.70796,20.334,,,,-0.3071222,2.39535,0.2513824,,,,,,0.05034016,0,,
2021-02-19 13:00:25,15546,0,1.2,-4.782,95.564,17.402,25.108,20.249,18.809,-4.269666,1.955654,-4.922482,-9.068685,-8.018457,15.83406,13.57638,12.62274,20.249,,,,-0.3082277,2.098466,0.2677606,,,,,,0.05170071,0,,
2021-02-19 13:00:30,15547,0,9.2,-4.782,95.471,17.346,25.168,20.153,19.697,-4.579208,1.454199,-4.040248,-8.427547,-6.368408,15.73243,13.66144,12.69092,20.153,,,,-0.3083164,2.301109,0.2948475,,,,,,0.05034016,0,,
2021-02-19 13:00:35,15548,0,38.8,-4.768,95.349,17.261,25.192,20.041,19.42,-4.707588,1.018613,-3.275201,-7.965126,-4.460316,15.61384,13.69546,12.75908,20.041,,,,-0.3090262,2.311686,0.3105895,,,,,,0.05034016,0,,
2021-02-19 13:00:40,15549,0,69.2,-4.755,95.283,17.202,25.296,19.969,19.584,-4.76174,0.6391384,-2.757276,-7.538852,-4.848404,15.49527,13.72952,12.87839,19.969,,,,-0.3092903,3.250545,0.3898007,,,,,,0.05170071,0,,
2021-02-19 13:00:45,15550,1800,99.6,-4.768,95.21,17.162,25.307,19.854,20.375,-4.80535,0.1685036,-1.602099,-7.254832,-5.466397,15.39357,13.76354,12.9295,19.854,,,,-0.3095468,4.045901,0.4987248,,,,,,0.05034016,0,1800.0,1800.0
