TIMESTAMP,RECORD,P_Total,F_Comp,T_RHS_OUT,RH_OUT,T_RHS_IN,RH_IN,T_RHS_SUP,RH_SUP,T_OUT,T_RO_M,T_RO_O,T_RI_M,T_RI_O,T_AI,T_AO1,T_AO2,T_AO3,T_ROOM_1,T_ROOM_2,T_ROOM_3,A_CI,A_HP_Total,A_I,T_Stack,A_Pan,A_Crank,P_Furnace1,P_Furnace2,P_Furnace3,P_AHU,P_Average,P_Weighted
2021-02-21 00:00:00,40740,0,0.0,-2.667,53.337,10.564,48.433,15.368,34.634,-2.333764,-0.3035071,4.304065,16.03555,16.22174,9.080826,14.27184,13.74492,15.368,,,,,1.540306,0.0462585,,,,,,,0.0,,
2021-02-21 00:00:05,40741,0,0.0,-2.667,52.722,10.577,48.484,15.354,34.714,-2.330641,-0.3083167,4.292406,16.05248,16.23866,9.11515,14.28883,13.77893,15.354,,,,,1.540009,0.04489796,,,,,,,0.0,,
2021-02-21 00:00:10,40742,0,0.0,-2.667,52.353,10.55,48.543,15.354,34.7,-2.336079,-0.3139208,4.285762,16.03555,16.23866,9.097987,14.30582,13.74492,15.354,,,,,1.557509,0.0462585,,,,,,,0.0,,
2021-02-21 00:00:15,40743,0,0.2,-2.693,52.397,10.55,48.467,15.338,34.728,-2.336431,-0.3287372,4.275837,16.03562,16.23873,9.097963,14.30587,13.76196,15.338,,,,,1.555179,0.0462585,,,,,,,0.0,,
2021-02-21 00:00:20,40744,0,0.2,-2.68,52.452,10.534,48.479,15.325,34.685,-2.357882,-0.3290398,4.269075,16.01869,16.20488,9.080801,14.28888,13.74496,15.325,,,,,1.539138,0.04489796,,,,,,,0.0,,
2021-02-21 00:00:25,40745,0,0.8,-2.68,52.521,10.521,48.465,15.338,34.728,-2.375772,-0.3281685,4.259733,16.01869,16.20488,9.080801,14.27189,13.74496,15.338,,,,,1.549599,0.0462585,,,,,,,0.0,,
2021-02-21 00:00:30,40746,0,0.6,-2.693,52.674,10.55,48.48,15.325,34.712,-2.377047,-0.3406414,4.25275,16.01326,16.19945,9.07529,14.28342,13.77351,15.325,,,,,1.541467,0.04557823,,,,,,,0.0,,
2021-02-21 00:00:35,40747,0,0.0,-2.651,52.701,10.521,48.465,15.312,34.764,-2.378253,-0.3485341,4.241496,16.00176,16.20488,9.080801,14.28888,13.79597,15.312,,,,,1.537996,0.04557823,,,,,,,0.0,,
2021-02-21 00:00:40,40748,0,0.4,-2.651,52.701,10.521,48.488,15.338,34.808,-2.444419,-0.3582936,4.232954,15.99633,16.18253,9.07529,14.28342,13.80752,15.338,,,,,1.541073,0.0462585,,,,,,,0.0,,
2021-02-21 00:00:45,40749,0,0.4,-2.68,52.843,10.494,48.525,15.338,34.808,-2.470979,-0.366345,4.227346,15.9794,16.1656,9.058128,14.26643,13.79051,15.338,,,,,1.560463,0.04557823,,,,,,,0.0,,
2021-02-21 00:00:50,40750,0,0.0,-2.651,53.058,10.494,48.513,15.298,34.901,-2.472836,-0.3705323,4.220535,16.01869,16.20488,9.097963,14.33984,13.88099,15.298,,,,,1.556541,0.04489796,,,,,,,0.0,,
2021-02-21 00:00:55,40751,0,0.6,-2.667,53.157,10.478,48.584,15.282,34.984,-2.498965,-0.3753166,4.213081,15.9794,16.1656,9.040964,14.30041,13.84153,15.282,,,,,1.553063,0.0462585,,,,,,,0.0,,
2021-02-21 00:01:00,40752,0,0.2,-2.667,53.168,10.478,48.572,15.282,35.053,-2.556911,-0.3777216,4.210442,15.9794,16.1656,9.040964,14.30041,13.85853,15.282,,,,,1.543674,0.04557823,,,,,,,0.0,,
2021-02-21 00:01:05,40753,0,0.0,-2.68,53.189,10.465,48.621,15.282,35.053,-2.56423,-0.3753288,4.200364,15.9794,16.18253,9.058128,14.33439,13.89254,15.282,,,,,1.539086,0.0462585,,,,,,,0.0,,
2021-02-21 00:01:10,40754,0,0.0,-2.68,53.336,10.465,48.708,15.312,35.097,-2.555233,-0.3774284,4.195527,15.9794,16.18253,9.040964,14.35137,13.90954,15.312,,,,,1.535751,0.0462585,,,,,,,0.0,,
2021-02-21 00:01:15,40755,1800,0.0,-2.667,53.402,10.438,49.175,15.282,35.231,-2.549402,-0.3722226,4.188639,15.9794,16.1656,9.058128,14.30041,13.84153,15.282,,,,,1.538507,0.0462585,,,,,,,0.0,1800.0,1800.0
2021-02-21 00:01:20,40756,0,0.2,-2.667,53.324,10.452,49.684,15.255,35.188,-2.534479,-0.3750489,4.178633,15.9794,16.1656,9.058128,14.21547,13.82452,15.255,,,,,1.538392,0.04489796,,,,,,,0.0,81.81818181818181,81.58404782451868
2021-02-21 00:01:25,40757,0,0.4,-2.71,53.333,10.438,50.342,15.282,35.204,-2.540612,-0.3803755,4.171248,15.94553,16.14868,9.040964,14.21547,13.82452,15.282,,,,,1.539665,0.0462585,,,,,,,0.0,81.81818181818181,81.65155759633276
2021-02-21 00:01:30,40758,0,0.2,-2.693,53.29,10.425,50.829,15.269,35.312,-2.548863,-0.3687894,4.163917,15.96247,16.1656,9.058128,14.21547,13.82452,15.269,,,,,1.536914,0.04557823,,,,,,,0.0,81.81818181818181,81.5056664869372
2021-02-21 00:01:35,40759,0,0.0,-2.68,53.122,10.409,51.111,15.255,35.597,-2.552675,-0.368834,4.155275,15.96247,16.1656,9.058128,14.21547,13.80752,15.255,,,,,1.540286,0.04489796,,,,,,,0.0,81.81818181818181,81.68449048580374
2021-02-21 00:01:40,40760,0,0.0,-2.71,52.896,10.425,51.551,15.282,35.545,-2.54269,-0.368014,4.147232,15.94553,16.13175,9.040964,14.21547,13.80752,15.282,,,,,1.541185,0.0462585,,,,,,,0.0,81.81818181818181,81.73216627909584
2021-02-21 00:01:45,40761,0,0.0,-2.693,52.787,10.395,52.106,15.255,35.625,-2.491471,-0.3646565,4.139687,15.94553,16.13175,9.040964,14.21547,13.80752,15.255,,,,,1.539722,0.04489796,,,,,,,0.0,81.81818181818181,81.65458042193637
2021-02-21 00:01:50,40762,0,0.0,-2.68,52.576,10.409,52.564,15.255,35.803,-2.413995,-0.361022,4.129597,15.94553,16.13175,9.040964,14.21547,13.82452,15.255,,,,,1.534924,0.04557823,,,,,,,0.0,81.81818181818181,81.40013275095131
2021-02-21 00:01:55,40763,0,0.0,-2.68,52.297,10.409,53.514,15.255,35.899,-2.332258,-0.360213,4.117264,15.94553,16.14868,9.058128,14.26643,13.87553,15.255,,,,,1.536628,0.0462585,,,,,,,0.0,81.81818181818181,81.490499326891
2021-02-21 00:02:00,40764,0,0.2,-2.667,52.028,10.409,55.071,15.255,36.174,-2.309515,-0.3537951,4.103753,15.94553,16.14868,9.07529,14.30041,13.90954,15.255,,,,,1.544428,0.04557823,,,,,,,0.0,81.81818181818181,81.90414914633314
2021-02-21 00:02:05,40765,0,0.6,-2.667,51.818,10.369,56.139,15.242,36.241,-2.310917,-0.3562668,4.095574,15.92879,16.13195,9.058056,14.30054,13.89265,15.242,,,,,1.544123,0.0462585,,,,,,,0.0,81.81818181818181,81.88797437775239
2021-02-21 00:02:10,40766,0,0.2,-2.693,51.715,10.395,56.783,15.255,36.256,-2.311322,-0.3619771,4.085711,15.92879,16.13195,9.075219,14.28355,13.89265,15.255,,,,,1.538942,0.0462585,,,,,,,0.0,81.81818181818181,81.61321543999216
2021-02-21 00:02:15,40767,0,0.4,-2.68,51.514,10.395,56.702,15.255,36.325,-2.307465,-0.378307,4.077129,15.90419,16.09043,9.050282,14.24188,13.86795,15.255,,,,,1.545116,0.04557823,,,,,,,0.0,81.81818181818181,81.94063518168906
2021-02-21 00:02:20,40768,0,0.2,-2.693,51.401,10.382,57.204,15.242,36.296,-2.31245,-0.3884769,4.068515,15.90419,16.09043,9.050282,14.22489,13.85094,15.242,,,,,1.553994,0.04557823,,,,,,,0.0,81.81818181818181,82.41145352745923
2021-02-21 00:02:25,40769,0,0.0,-2.667,51.271,10.382,58.176,15.213,36.128,-2.325866,-0.39718,4.059449,15.90419,16.09043,9.067446,14.22489,13.88495,15.213,,,,,1.543934,0.0462585,,,,,,,0.0,81.81818181818181,81.87795132443513
2021-02-21 00:02:30,40770,0,0.0,-2.667,51.213,10.382,58.788,15.226,36.173,-2.345845,-0.4047276,4.053631,15.90419,16.10736,9.084609,14.25887,13.90195,15.226,,,,,1.556817,0.04421769,,,,,,,0.0,81.81818181818181,82.5611629428804
